Central Park Precinct,,
February ,,
022sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),23,44
"Bus Lane, Driving in",0,0
Cell Phone,14,19
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,9,21
Disobey Traffic Control Device,28,36
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,7,16
Following Too Closely,0,0
Headlights (Defect. or Improper),10,35
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,35,84
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,10,11
Not Giving R of W to Veh.,0,0
One Way Street,1,2
Pavement Markings,16,34
Safety Belt,3,4
"School Bus, Passing Stopped",0,0
Speeding,42,87
Spillback,0,0
Tinted Windows,20,35
Truck Routes,1,1
U-Turn,0,1
Uninspected,0,0
Uninsured,6,13
Unlicensed Operator,6,10
Unregistered,0,2
Unsafe Lane Change,1,1
Other Movers,4,7
022    TOTAL Movers ,237,465
