78th Precinct,,
February ,,
078sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),9,15
"Bus Lane, Driving in",0,0
Cell Phone,89,134
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,31,66
Disobey Traffic Control Device,208,271
Equipment (Other),2,2
Fail to Keep Right,0,0
Fail to Signal,34,43
Following Too Closely,0,0
Headlights (Defect. or Improper),10,13
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,9,21
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,41,56
Not Giving R of W to Veh.,3,3
One Way Street,0,1
Pavement Markings,11,28
Safety Belt,66,120
"School Bus, Passing Stopped",5,6
Speeding,12,38
Spillback,1,2
Tinted Windows,28,44
Truck Routes,3,4
U-Turn,21,43
Uninspected,0,0
Uninsured,16,24
Unlicensed Operator,24,43
Unregistered,3,5
Unsafe Lane Change,0,2
Other Movers,12,19
078    TOTAL Movers ,639,1005
