60th Precinct,,
February ,,
060sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,4,4
Brake Lights (Defect.or Improper),15,34
"Bus Lane, Driving in",0,0
Cell Phone,56,91
Commercial Veh on Pkwy,3,3
Defective Brakes,0,0
Disobey Steady Red Signal,28,54
Disobey Traffic Control Device,222,368
Equipment (Other),0,7
Fail to Keep Right,0,4
Fail to Signal,32,56
Following Too Closely,0,0
Headlights (Defect. or Improper),35,76
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,24,38
Improper/Missing Plates,13,19
Not Giving R of W to Pedes.,26,29
Not Giving R of W to Veh.,0,1
One Way Street,2,2
Pavement Markings,17,36
Safety Belt,50,93
"School Bus, Passing Stopped",6,20
Speeding,41,129
Spillback,0,0
Tinted Windows,151,227
Truck Routes,0,1
U-Turn,18,70
Uninspected,0,0
Uninsured,28,45
Unlicensed Operator,45,88
Unregistered,8,11
Unsafe Lane Change,2,3
Other Movers,20,34
060    TOTAL Movers ,848,1545
