"Moving Violations",,
"71st Precinct",,
"February ",,
071sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",6,8
"Brake Lights (Defect.or Improper)",1,4
"Bus Lane, Driving in",14,17
"Cell Phone",158,279
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",133,201
"Disobey Traffic Control Device",337,519
"Equipment (Other)",20,29
"Fail to Keep Right",0,0
"Fail to Signal",61,98
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,7
"Improper Lights",3,3
"Improper Passing",6,9
"Improper Turn",62,101
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",48,83
"Not Giving R of W to Veh.",19,27
"One Way Street",4,5
"Pavement Markings",18,25
"Safety Belt",142,246
"School Bus, Passing Stopped",10,12
Speeding,15,33
Spillback,5,7
"Tinted Windows",99,156
"Truck Routes",3,6
U-Turn,9,13
Uninspected,16,18
Uninsured,69,107
"Unlicensed Operator",98,159
Unregistered,17,24
"Unsafe Lane Change",1,1
"Other Movers",56,97
"071    TOTAL Movers ",1433,2295
"* All figures are preliminary and subject to change.",,
