"Moving Violations",,
"52nd Precinct",,
"February ",,
052sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,5
"Brake Lights (Defect.or Improper)",146,266
"Bus Lane, Driving in",6,23
"Cell Phone",24,57
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",40,76
"Disobey Traffic Control Device",86,129
"Equipment (Other)",0,1
"Fail to Keep Right",2,3
"Fail to Signal",24,54
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",71,140
"Improper Lights",6,19
"Improper Passing",8,8
"Improper Turn",81,118
"Improper/Missing Plates",11,17
"Not Giving R of W to Pedes.",14,21
"Not Giving R of W to Veh.",3,8
"One Way Street",2,2
"Pavement Markings",15,26
"Safety Belt",42,68
"School Bus, Passing Stopped",1,5
Speeding,135,200
Spillback,0,0
"Tinted Windows",284,469
"Truck Routes",4,6
U-Turn,10,16
Uninspected,9,14
Uninsured,57,80
"Unlicensed Operator",56,145
Unregistered,22,38
"Unsafe Lane Change",4,9
"Other Movers",15,23
"052    TOTAL Movers ",1181,2046
"* All figures are preliminary and subject to change.",,
