79th Precinct,,
February ,,
079sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,4,5
Brake Lights (Defect.or Improper),50,81
"Bus Lane, Driving in",0,0
Cell Phone,105,177
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,107,191
Disobey Traffic Control Device,317,554
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,0,0
Following Too Closely,3,3
Headlights (Defect. or Improper),27,82
Improper Lights,0,0
Improper Passing,9,15
Improper Turn,85,146
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,22,43
Not Giving R of W to Veh.,1,3
One Way Street,0,0
Pavement Markings,0,0
Safety Belt,50,81
"School Bus, Passing Stopped",2,3
Speeding,6,27
Spillback,2,3
Tinted Windows,66,118
Truck Routes,8,9
U-Turn,16,17
Uninspected,3,8
Uninsured,33,70
Unlicensed Operator,59,103
Unregistered,23,39
Unsafe Lane Change,0,1
Other Movers,40,55
079    TOTAL Movers ,1038,1834
