"Moving Violations",,
"Brooklyn South",,
"February ",,
pbbssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",28,42
"Brake Lights (Defect.or Improper)",95,168
"Bus Lane, Driving in",19,23
"Cell Phone",1213,1872
"Commercial Veh on Pkwy",7,7
"Defective Brakes",0,1
"Disobey Steady Red Signal",706,1086
"Disobey Traffic Control Device",1968,2967
"Equipment (Other)",25,44
"Fail to Keep Right",0,4
"Fail to Signal",382,580
"Following Too Closely",7,16
"Headlights (Defect. or Improper)",153,289
"Improper Lights",13,41
"Improper Passing",87,119
"Improper Turn",801,1174
"Improper/Missing Plates",60,93
"Not Giving R of W to Pedes.",813,1118
"Not Giving R of W to Veh.",72,117
"One Way Street",42,70
"Pavement Markings",272,444
"Safety Belt",1233,1989
"School Bus, Passing Stopped",36,62
Speeding,428,813
Spillback,26,44
"Tinted Windows",1362,1966
"Truck Routes",45,84
U-Turn,114,231
Uninspected,48,73
Uninsured,451,751
"Unlicensed Operator",681,1102
Unregistered,134,219
"Unsafe Lane Change",54,84
"Other Movers",521,832
"PBBS   TOTAL Movers ",11896,18525
"* All figures are preliminary and subject to change.",,
