"Moving Violations",,
"75th Precinct",,
"February ",,
075sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",5,7
"Brake Lights (Defect.or Improper)",20,41
"Bus Lane, Driving in",0,0
"Cell Phone",84,163
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",97,159
"Disobey Traffic Control Device",209,349
"Equipment (Other)",14,30
"Fail to Keep Right",0,0
"Fail to Signal",85,135
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",21,53
"Improper Lights",0,0
"Improper Passing",13,14
"Improper Turn",101,177
"Improper/Missing Plates",5,7
"Not Giving R of W to Pedes.",45,58
"Not Giving R of W to Veh.",7,11
"One Way Street",2,4
"Pavement Markings",10,16
"Safety Belt",238,423
"School Bus, Passing Stopped",0,2
Speeding,22,54
Spillback,3,4
"Tinted Windows",362,622
"Truck Routes",1,2
U-Turn,8,12
Uninspected,12,25
Uninsured,45,86
"Unlicensed Operator",126,218
Unregistered,38,59
"Unsafe Lane Change",3,7
"Other Movers",214,367
"075    TOTAL Movers ",1791,3106
"* All figures are preliminary and subject to change.",,
