105th Precinct,,
February ,,
105sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),25,47
"Bus Lane, Driving in",0,0
Cell Phone,68,111
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,9,17
Disobey Traffic Control Device,106,251
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,25,34
Following Too Closely,0,0
Headlights (Defect. or Improper),24,51
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,46,103
Improper/Missing Plates,3,7
Not Giving R of W to Pedes.,16,17
Not Giving R of W to Veh.,0,1
One Way Street,0,0
Pavement Markings,58,127
Safety Belt,142,212
"School Bus, Passing Stopped",0,0
Speeding,4,7
Spillback,0,0
Tinted Windows,146,200
Truck Routes,1,2
U-Turn,3,20
Uninspected,4,13
Uninsured,75,119
Unlicensed Operator,54,97
Unregistered,13,17
Unsafe Lane Change,1,3
Other Movers,54,81
105    TOTAL Movers ,880,1540
