"Moving Violations",,
"108th Precinct",,
"February ",,
108sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",1,1
"Bus Lane, Driving in",0,0
"Cell Phone",59,85
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",40,89
"Disobey Traffic Control Device",269,490
"Equipment (Other)",6,6
"Fail to Keep Right",0,0
"Fail to Signal",9,15
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,9
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",182,343
"Improper/Missing Plates",0,5
"Not Giving R of W to Pedes.",60,95
"Not Giving R of W to Veh.",1,4
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",81,95
"School Bus, Passing Stopped",1,2
Speeding,72,72
Spillback,2,2
"Tinted Windows",25,46
"Truck Routes",0,0
U-Turn,0,0
Uninspected,1,5
Uninsured,18,41
"Unlicensed Operator",57,98
Unregistered,2,6
"Unsafe Lane Change",0,0
"Other Movers",22,45
"108    TOTAL Movers ",914,1556
"* All figures are preliminary and subject to change.",,
