"Moving Violations",,
"114th Precinct",,
"February ",,
114sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",213,295
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",44,79
"Disobey Traffic Control Device",217,429
"Equipment (Other)",0,0
"Fail to Keep Right",1,3
"Fail to Signal",25,40
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",8,29
"Improper Passing",1,2
"Improper Turn",53,97
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",33,43
"Not Giving R of W to Veh.",5,5
"One Way Street",4,5
"Pavement Markings",10,22
"Safety Belt",184,246
"School Bus, Passing Stopped",0,0
Speeding,23,53
Spillback,4,5
"Tinted Windows",86,187
"Truck Routes",0,1
U-Turn,0,0
Uninspected,1,1
Uninsured,17,48
"Unlicensed Operator",48,98
Unregistered,2,6
"Unsafe Lane Change",0,0
"Other Movers",77,125
"114    TOTAL Movers ",1057,1822
"* All figures are preliminary and subject to change.",,
