73rd Precinct,,
February ,,
073sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,5
Brake Lights (Defect.or Improper),33,60
"Bus Lane, Driving in",0,0
Cell Phone,157,286
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,110,187
Disobey Traffic Control Device,220,357
Equipment (Other),1,4
Fail to Keep Right,0,0
Fail to Signal,87,113
Following Too Closely,0,1
Headlights (Defect. or Improper),29,59
Improper Lights,0,0
Improper Passing,8,9
Improper Turn,61,103
Improper/Missing Plates,9,12
Not Giving R of W to Pedes.,17,34
Not Giving R of W to Veh.,38,54
One Way Street,0,0
Pavement Markings,1,3
Safety Belt,100,169
"School Bus, Passing Stopped",2,3
Speeding,26,48
Spillback,3,3
Tinted Windows,241,387
Truck Routes,1,1
U-Turn,0,0
Uninspected,6,20
Uninsured,92,143
Unlicensed Operator,97,156
Unregistered,13,38
Unsafe Lane Change,5,6
Other Movers,112,238
073    TOTAL Movers ,1471,2499
