"Moving Violations",,
"112th Precinct",,
"February ",,
112sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",1,4
"Bus Lane, Driving in",0,0
"Cell Phone",60,78
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",56,75
"Disobey Traffic Control Device",249,496
"Equipment (Other)",8,13
"Fail to Keep Right",0,0
"Fail to Signal",1,7
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",2,5
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",42,66
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",111,140
"Not Giving R of W to Veh.",0,1
"One Way Street",5,5
"Pavement Markings",0,0
"Safety Belt",170,191
"School Bus, Passing Stopped",0,1
Speeding,81,114
Spillback,0,0
"Tinted Windows",128,207
"Truck Routes",2,4
U-Turn,0,2
Uninspected,2,3
Uninsured,22,48
"Unlicensed Operator",32,52
Unregistered,2,5
"Unsafe Lane Change",2,3
"Other Movers",26,38
"112    TOTAL Movers ",1006,1564
"* All figures are preliminary and subject to change.",,
