103rd Precinct,,
February ,,
103sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,4
Brake Lights (Defect.or Improper),4,8
"Bus Lane, Driving in",0,0
Cell Phone,60,99
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,20,36
Disobey Traffic Control Device,372,586
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,14,29
Following Too Closely,0,0
Headlights (Defect. or Improper),5,5
Improper Lights,1,3
Improper Passing,3,3
Improper Turn,95,166
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,74,98
Not Giving R of W to Veh.,4,5
One Way Street,1,3
Pavement Markings,16,41
Safety Belt,94,160
"School Bus, Passing Stopped",2,6
Speeding,22,25
Spillback,10,16
Tinted Windows,405,692
Truck Routes,8,22
U-Turn,40,67
Uninspected,2,3
Uninsured,14,24
Unlicensed Operator,101,159
Unregistered,5,7
Unsafe Lane Change,5,10
Other Movers,79,121
103    TOTAL Movers ,1458,2399
