"Moving Violations",,
"63rd Precinct",,
"February ",,
063sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",81,126
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",13,18
"Disobey Traffic Control Device",98,146
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",20,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,3
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",26,40
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",51,74
"Not Giving R of W to Veh.",1,2
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",46,72
"School Bus, Passing Stopped",0,0
Speeding,43,59
Spillback,0,0
"Tinted Windows",68,81
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,1
Uninsured,4,11
"Unlicensed Operator",18,28
Unregistered,2,2
"Unsafe Lane Change",1,2
"Other Movers",68,116
"063    TOTAL Movers ",540,813
"* All figures are preliminary and subject to change.",,
