122nd Precinct,,
February ,,
122sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),12,22
"Bus Lane, Driving in",2,4
Cell Phone,75,99
Commercial Veh on Pkwy,1,3
Defective Brakes,2,2
Disobey Steady Red Signal,18,29
Disobey Traffic Control Device,178,299
Equipment (Other),4,9
Fail to Keep Right,0,0
Fail to Signal,73,114
Following Too Closely,5,8
Headlights (Defect. or Improper),15,28
Improper Lights,0,1
Improper Passing,0,0
Improper Turn,4,5
Improper/Missing Plates,16,23
Not Giving R of W to Pedes.,13,22
Not Giving R of W to Veh.,5,9
One Way Street,3,6
Pavement Markings,13,27
Safety Belt,93,138
"School Bus, Passing Stopped",2,3
Speeding,144,242
Spillback,0,0
Tinted Windows,147,221
Truck Routes,4,5
U-Turn,16,25
Uninspected,4,7
Uninsured,55,90
Unlicensed Operator,93,143
Unregistered,21,33
Unsafe Lane Change,15,22
Other Movers,90,128
122    TOTAL Movers ,1123,1767
