69th Precinct,,
February ,,
069sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),27,42
"Bus Lane, Driving in",0,0
Cell Phone,85,122
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,36,45
Disobey Traffic Control Device,119,164
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,10,12
Following Too Closely,0,0
Headlights (Defect. or Improper),53,100
Improper Lights,0,0
Improper Passing,25,37
Improper Turn,126,172
Improper/Missing Plates,2,7
Not Giving R of W to Pedes.,29,33
Not Giving R of W to Veh.,3,6
One Way Street,0,0
Pavement Markings,0,4
Safety Belt,167,212
"School Bus, Passing Stopped",1,2
Speeding,43,54
Spillback,1,1
Tinted Windows,220,269
Truck Routes,2,10
U-Turn,0,0
Uninspected,1,1
Uninsured,75,107
Unlicensed Operator,54,74
Unregistered,21,30
Unsafe Lane Change,0,0
Other Movers,38,58
069    TOTAL Movers ,1138,1565
