48th Precinct,,
February ,,
048sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),46,68
"Bus Lane, Driving in",0,0
Cell Phone,100,153
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,40,66
Disobey Traffic Control Device,92,139
Equipment (Other),3,7
Fail to Keep Right,0,0
Fail to Signal,44,70
Following Too Closely,0,0
Headlights (Defect. or Improper),71,140
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,106,196
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,22,40
Not Giving R of W to Veh.,7,10
One Way Street,3,3
Pavement Markings,33,52
Safety Belt,42,73
"School Bus, Passing Stopped",1,3
Speeding,66,140
Spillback,18,22
Tinted Windows,119,190
Truck Routes,5,12
U-Turn,10,17
Uninspected,2,3
Uninsured,36,54
Unlicensed Operator,61,127
Unregistered,12,23
Unsafe Lane Change,1,1
Other Movers,30,44
048    TOTAL Movers ,972,1656
