"Moving Violations",,
"101st Precinct",,
"February ",,
101sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,4
"Brake Lights (Defect.or Improper)",46,81
"Bus Lane, Driving in",0,0
"Cell Phone",72,126
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",39,62
"Disobey Traffic Control Device",89,162
"Equipment (Other)",7,12
"Fail to Keep Right",0,0
"Fail to Signal",22,44
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",75,118
"Improper Lights",2,5
"Improper Passing",4,5
"Improper Turn",14,20
"Improper/Missing Plates",5,8
"Not Giving R of W to Pedes.",15,33
"Not Giving R of W to Veh.",0,0
"One Way Street",0,2
"Pavement Markings",5,9
"Safety Belt",55,100
"School Bus, Passing Stopped",0,0
Speeding,47,96
Spillback,2,2
"Tinted Windows",63,102
"Truck Routes",4,4
U-Turn,0,1
Uninspected,5,17
Uninsured,48,94
"Unlicensed Operator",113,199
Unregistered,5,13
"Unsafe Lane Change",0,1
"Other Movers",26,51
"101    TOTAL Movers ",764,1371
"* All figures are preliminary and subject to change.",,
