104th Precinct,,
February ,,
104sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),8,21
"Bus Lane, Driving in",0,0
Cell Phone,111,187
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,42,74
Disobey Traffic Control Device,101,223
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,14,37
Following Too Closely,1,1
Headlights (Defect. or Improper),3,9
Improper Lights,0,0
Improper Passing,2,5
Improper Turn,20,48
Improper/Missing Plates,4,12
Not Giving R of W to Pedes.,54,81
Not Giving R of W to Veh.,4,6
One Way Street,0,0
Pavement Markings,0,1
Safety Belt,135,216
"School Bus, Passing Stopped",0,0
Speeding,37,98
Spillback,0,2
Tinted Windows,102,171
Truck Routes,12,36
U-Turn,4,5
Uninspected,7,10
Uninsured,18,40
Unlicensed Operator,68,110
Unregistered,8,21
Unsafe Lane Change,3,4
Other Movers,70,133
104    TOTAL Movers ,828,1552
