"Moving Violations",,
"62nd Precinct",,
"February ",,
062sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",7,12
"Bus Lane, Driving in",0,0
"Cell Phone",59,93
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",53,104
"Disobey Traffic Control Device",173,228
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",74,108
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",0,0
"Improper Passing",3,8
"Improper Turn",8,11
"Improper/Missing Plates",12,21
"Not Giving R of W to Pedes.",58,114
"Not Giving R of W to Veh.",1,2
"One Way Street",17,31
"Pavement Markings",19,27
"Safety Belt",38,75
"School Bus, Passing Stopped",0,1
Speeding,16,34
Spillback,0,0
"Tinted Windows",94,169
"Truck Routes",1,1
U-Turn,3,7
Uninspected,0,0
Uninsured,20,38
"Unlicensed Operator",44,73
Unregistered,4,10
"Unsafe Lane Change",1,1
"Other Movers",40,70
"062    TOTAL Movers ",747,1241
"* All figures are preliminary and subject to change.",,
