
"28th Precinct",,
"   April ",,
"","",""
"Backing Unsafely",0,4
"Bike Lane",0,0
"Bus Lane",0,1
"Cell Phone",62,295
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",251,1084
"Driving Too Slow",0,0
Equipment,59,128
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",1,1
"Fail to yield Right of Way to Pedestrian",100,311
"Failure to Signal",6,12
"Following Too Closely",0,0
"Improper Passing",0,2
"Improper Taxi Pickup",0,0
"Improper Turn",148,480
"Improper/Missing Plates",4,5
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",3,3
"Not Giving R of W to Veh.",2,5
"Obstructed Plate",4,12
"One Way Street",2,4
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",84,360
"School Bus",7,7
"Scooter In NYC",0,0
"Seat Belt",87,401
Speeding,102,270
Spillback,0,1
"TBTA Rule",0,0
Tints,22,162
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,1,12
Uninsured,6,23
"Unlicensed Operator",25,98
Unregistered,5,20
"Unsafe Lane Change",1,3
"Other Movers",51,213
"028 TOTAL Movers ",1033,3917
