101st Precinct,,
October  ,,
101sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,27
Brake Lights (Defect.or Improper),124,1012
"Bus Lane, Driving in",0,0
Cell Phone,70,601
Commercial Veh on Pkwy,0,0
Defective Brakes,0,3
Disobey Sign,102,908
Equipment (Other),9,192
Fail to Keep Right,0,0
Fail to Signal,12,89
Fail to Stop on Signal,50,374
Following Too Closely,0,5
Headlights (Defect. or Improper),97,1219
Improper Lights,3,11
Improper Passing,5,48
Improper Turn,23,139
Improper/Missing Plates,3,46
Not Giving R of W to Pedes.,23,141
Not Giving R of W to Veh.,3,14
One Way Street,0,22
Pavement Markings,12,57
Safety Belt,67,678
"School Bus, Passing Stopped",13,39
Speeding,102,588
Spillback,0,2
Tinted Windows,74,957
Truck Routes,0,7
U-Turn,3,15
Uninspected,7,166
Uninsured,93,1759
Unlicensed Operator,112,1482
Unregistered,5,165
Unsafe Lane Change,1,3
Other Movers,43,360
101    TOTAL Movers ,1057,11129
