"Moving Violations",,
"7th Precinct",,
"October  ",,
007sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,4
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",134,1150
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,2
"Disobey Sign",153,1854
"Equipment (Other)",0,0
"Fail to Keep Right",0,5
"Fail to Signal",7,81
"Fail to Stop on Signal",52,645
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",0,0
"Improper Lights",19,238
"Improper Passing",1,6
"Improper Turn",101,857
"Improper/Missing Plates",0,4
"Not Giving R of W to Pedes.",36,264
"Not Giving R of W to Veh.",1,9
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",96,716
"School Bus, Passing Stopped",20,38
Speeding,13,111
Spillback,15,142
"Tinted Windows",27,279
"Truck Routes",4,55
U-Turn,0,0
Uninspected,1,10
Uninsured,10,125
"Unlicensed Operator",21,239
Unregistered,5,37
"Unsafe Lane Change",3,7
"Other Movers",46,442
"007    TOTAL Movers ",768,7324
"* All figures are preliminary and subject to change.",,
