"Moving Violations",,
"107th Precinct",,
"October  ",,
107sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,12
"Brake Lights (Defect.or Improper)",33,592
"Bus Lane, Driving in",0,0
"Cell Phone",89,903
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",222,1559
"Equipment (Other)",1,17
"Fail to Keep Right",0,2
"Fail to Signal",13,78
"Fail to Stop on Signal",24,194
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,208
"Improper Lights",6,55
"Improper Passing",6,33
"Improper Turn",138,1911
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",35,157
"Not Giving R of W to Veh.",7,69
"One Way Street",2,13
"Pavement Markings",2,144
"Safety Belt",65,1942
"School Bus, Passing Stopped",5,31
Speeding,105,523
Spillback,0,4
"Tinted Windows",48,397
"Truck Routes",0,9
U-Turn,4,68
Uninspected,3,18
Uninsured,33,329
"Unlicensed Operator",55,630
Unregistered,6,34
"Unsafe Lane Change",0,2
"Other Movers",26,371
"107    TOTAL Movers ",938,10306
"* All figures are preliminary and subject to change.",,
