44th Precinct,,
October  ,,
044sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,49
Brake Lights (Defect.or Improper),64,340
"Bus Lane, Driving in",0,3
Cell Phone,106,695
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,264,1602
Equipment (Other),6,93
Fail to Keep Right,0,0
Fail to Signal,13,119
Fail to Stop on Signal,68,442
Following Too Closely,0,3
Headlights (Defect. or Improper),54,371
Improper Lights,0,0
Improper Passing,1,8
Improper Turn,33,158
Improper/Missing Plates,9,70
Not Giving R of W to Pedes.,16,171
Not Giving R of W to Veh.,4,35
One Way Street,5,45
Pavement Markings,68,274
Safety Belt,72,1185
"School Bus, Passing Stopped",57,97
Speeding,63,748
Spillback,0,31
Tinted Windows,68,585
Truck Routes,0,18
U-Turn,8,53
Uninspected,11,66
Uninsured,54,381
Unlicensed Operator,78,622
Unregistered,35,228
Unsafe Lane Change,3,13
Other Movers,25,200
044    TOTAL Movers ,1189,8705
