60th Precinct,,
October  ,,
060sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,19
Brake Lights (Defect.or Improper),4,88
"Bus Lane, Driving in",3,3
Cell Phone,171,1157
Commercial Veh on Pkwy,0,2
Defective Brakes,0,4
Disobey Sign,138,1461
Equipment (Other),1,5
Fail to Keep Right,0,8
Fail to Signal,17,142
Fail to Stop on Signal,27,238
Following Too Closely,0,0
Headlights (Defect. or Improper),30,154
Improper Lights,0,6
Improper Passing,0,2
Improper Turn,24,241
Improper/Missing Plates,2,19
Not Giving R of W to Pedes.,43,201
Not Giving R of W to Veh.,1,10
One Way Street,0,4
Pavement Markings,11,136
Safety Belt,122,829
"School Bus, Passing Stopped",11,39
Speeding,39,381
Spillback,0,1
Tinted Windows,119,988
Truck Routes,0,1
U-Turn,21,129
Uninspected,6,24
Uninsured,69,347
Unlicensed Operator,50,363
Unregistered,7,54
Unsafe Lane Change,1,20
Other Movers,56,426
060    TOTAL Movers ,978,7502
