76th Precinct,,
October  ,,
076sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,21
Brake Lights (Defect.or Improper),3,38
"Bus Lane, Driving in",0,0
Cell Phone,194,1119
Commercial Veh on Pkwy,0,1
Defective Brakes,0,1
Disobey Sign,52,336
Equipment (Other),2,2
Fail to Keep Right,0,0
Fail to Signal,4,96
Fail to Stop on Signal,48,253
Following Too Closely,1,4
Headlights (Defect. or Improper),6,42
Improper Lights,0,0
Improper Passing,0,4
Improper Turn,28,269
Improper/Missing Plates,3,20
Not Giving R of W to Pedes.,33,153
Not Giving R of W to Veh.,0,9
One Way Street,3,64
Pavement Markings,48,1360
Safety Belt,88,654
"School Bus, Passing Stopped",3,9
Speeding,43,210
Spillback,1,8
Tinted Windows,85,592
Truck Routes,0,4
U-Turn,1,6
Uninspected,1,10
Uninsured,14,137
Unlicensed Operator,16,176
Unregistered,2,38
Unsafe Lane Change,0,11
Other Movers,102,279
076    TOTAL Movers ,781,5926
