48th Precinct,,
October  ,,
048sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,19
Brake Lights (Defect.or Improper),38,220
"Bus Lane, Driving in",8,75
Cell Phone,90,720
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,111,711
Equipment (Other),8,37
Fail to Keep Right,0,11
Fail to Signal,56,389
Fail to Stop on Signal,43,403
Following Too Closely,1,7
Headlights (Defect. or Improper),45,223
Improper Lights,1,6
Improper Passing,1,12
Improper Turn,142,1111
Improper/Missing Plates,1,12
Not Giving R of W to Pedes.,25,179
Not Giving R of W to Veh.,3,19
One Way Street,2,11
Pavement Markings,31,214
Safety Belt,69,486
"School Bus, Passing Stopped",23,42
Speeding,122,1576
Spillback,2,43
Tinted Windows,153,1067
Truck Routes,5,36
U-Turn,4,66
Uninspected,0,16
Uninsured,33,229
Unlicensed Operator,88,628
Unregistered,18,105
Unsafe Lane Change,3,7
Other Movers,30,214
048    TOTAL Movers ,1157,8894
