50th Precinct,,
October  ,,
050sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,6
Brake Lights (Defect.or Improper),10,98
"Bus Lane, Driving in",0,0
Cell Phone,27,506
Commercial Veh on Pkwy,0,2
Defective Brakes,0,0
Disobey Sign,147,1664
Equipment (Other),0,8
Fail to Keep Right,2,6
Fail to Signal,4,28
Fail to Stop on Signal,11,124
Following Too Closely,0,1
Headlights (Defect. or Improper),5,100
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,95,730
Improper/Missing Plates,0,4
Not Giving R of W to Pedes.,34,251
Not Giving R of W to Veh.,3,10
One Way Street,3,14
Pavement Markings,0,11
Safety Belt,25,343
"School Bus, Passing Stopped",17,37
Speeding,20,309
Spillback,0,2
Tinted Windows,86,735
Truck Routes,0,0
U-Turn,1,14
Uninspected,0,4
Uninsured,11,149
Unlicensed Operator,13,163
Unregistered,11,69
Unsafe Lane Change,2,18
Other Movers,16,195
050    TOTAL Movers ,544,5602
