"Moving Violations",,
"41st Precinct",,
"October  ",,
041sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,19
"Brake Lights (Defect.or Improper)",16,230
"Bus Lane, Driving in",0,0
"Cell Phone",37,281
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,5
"Disobey Sign",204,1648
"Equipment (Other)",10,62
"Fail to Keep Right",0,1
"Fail to Signal",13,93
"Fail to Stop on Signal",73,461
"Following Too Closely",1,25
"Headlights (Defect. or Improper)",36,547
"Improper Lights",0,13
"Improper Passing",2,17
"Improper Turn",78,750
"Improper/Missing Plates",2,26
"Not Giving R of W to Pedes.",66,324
"Not Giving R of W to Veh.",2,15
"One Way Street",0,34
"Pavement Markings",36,296
"Safety Belt",41,415
"School Bus, Passing Stopped",18,44
Speeding,106,659
Spillback,1,18
"Tinted Windows",29,976
"Truck Routes",1,46
U-Turn,21,364
Uninspected,2,50
Uninsured,88,710
"Unlicensed Operator",60,517
Unregistered,25,192
"Unsafe Lane Change",5,18
"Other Movers",36,173
"041    TOTAL Movers ",1013,9032
"* All figures are preliminary and subject to change.",,
