"Moving Violations",,
"Transportation Bureau",,
"October  ",,
cotsum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",53,219
"Brake Lights (Defect.or Improper)",27,494
"Bus Lane, Driving in",156,1641
"Cell Phone",1030,8056
"Commercial Veh on Pkwy",113,1017
"Defective Brakes",2,30
"Disobey Sign",1487,20080
"Equipment (Other)",281,4503
"Fail to Keep Right",1,10
"Fail to Signal",319,2548
"Fail to Stop on Signal",341,4393
"Following Too Closely",79,630
"Headlights (Defect. or Improper)",14,286
"Improper Lights",12,86
"Improper Passing",107,1015
"Improper Turn",509,5256
"Improper/Missing Plates",25,353
"Not Giving R of W to Pedes.",745,3324
"Not Giving R of W to Veh.",48,307
"One Way Street",56,477
"Pavement Markings",245,2556
"Safety Belt",485,7232
"School Bus, Passing Stopped",310,932
Speeding,8845,63161
Spillback,17,496
"Tinted Windows",803,9242
"Truck Routes",27,102
U-Turn,1,12
Uninspected,90,996
Uninsured,177,2028
"Unlicensed Operator",516,4413
Unregistered,116,1119
"Unsafe Lane Change",94,725
"Other Movers",2519,17490
"TOTAL Movers ",19650,165229
*,,
"Transportation Bureau"," is a citywide unit whose activity is not tracked by Precinct.",
"* All figures are preliminary and subject to change.",,
