Bronx,,
October  ,,
pbbxsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,31,312
Brake Lights (Defect.or Improper),545,3861
"Bus Lane, Driving in",15,132
Cell Phone,687,7025
Commercial Veh on Pkwy,0,13
Defective Brakes,2,36
Disobey Sign,1754,13635
Equipment (Other),57,555
Fail to Keep Right,8,71
Fail to Signal,264,2224
Fail to Stop on Signal,502,4095
Following Too Closely,3,65
Headlights (Defect. or Improper),497,3703
Improper Lights,16,124
Improper Passing,21,161
Improper Turn,1037,8464
Improper/Missing Plates,38,409
Not Giving R of W to Pedes.,280,2513
Not Giving R of W to Veh.,36,341
One Way Street,33,277
Pavement Markings,252,2468
Safety Belt,566,7223
"School Bus, Passing Stopped",488,926
Speeding,594,6667
Spillback,20,208
Tinted Windows,1379,12469
Truck Routes,20,202
U-Turn,97,1126
Uninspected,28,572
Uninsured,667,5934
Unlicensed Operator,704,6351
Unregistered,225,1816
Unsafe Lane Change,93,497
Other Movers,383,3727
PBBX   TOTAL Movers ,11342,98202
