"Moving Violations",,
"62nd Precinct",,
"October  ",,
062sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,12
"Brake Lights (Defect.or Improper)",8,94
"Bus Lane, Driving in",0,0
"Cell Phone",86,805
"Commercial Veh on Pkwy",3,3
"Defective Brakes",0,0
"Disobey Sign",179,1882
"Equipment (Other)",5,34
"Fail to Keep Right",1,4
"Fail to Signal",36,228
"Fail to Stop on Signal",85,665
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",0,26
"Improper Lights",0,33
"Improper Passing",6,83
"Improper Turn",21,210
"Improper/Missing Plates",1,61
"Not Giving R of W to Pedes.",50,360
"Not Giving R of W to Veh.",4,61
"One Way Street",40,169
"Pavement Markings",14,162
"Safety Belt",144,958
"School Bus, Passing Stopped",2,50
Speeding,47,328
Spillback,0,4
"Tinted Windows",144,751
"Truck Routes",1,17
U-Turn,6,60
Uninspected,1,8
Uninsured,30,358
"Unlicensed Operator",48,453
Unregistered,6,90
"Unsafe Lane Change",1,43
"Other Movers",74,509
"062    TOTAL Movers ",1046,8525
"* All figures are preliminary and subject to change.",,
