43rd Precinct,,
October  ,,
043sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,69
Brake Lights (Defect.or Improper),43,283
"Bus Lane, Driving in",0,0
Cell Phone,51,660
Commercial Veh on Pkwy,0,2
Defective Brakes,2,2
Disobey Sign,217,1226
Equipment (Other),13,54
Fail to Keep Right,0,8
Fail to Signal,88,580
Fail to Stop on Signal,32,296
Following Too Closely,0,6
Headlights (Defect. or Improper),46,267
Improper Lights,0,16
Improper Passing,7,33
Improper Turn,208,1218
Improper/Missing Plates,11,138
Not Giving R of W to Pedes.,33,205
Not Giving R of W to Veh.,3,41
One Way Street,4,20
Pavement Markings,20,315
Safety Belt,35,650
"School Bus, Passing Stopped",65,79
Speeding,30,399
Spillback,1,9
Tinted Windows,89,1040
Truck Routes,1,9
U-Turn,5,42
Uninspected,1,9
Uninsured,33,211
Unlicensed Operator,75,599
Unregistered,23,104
Unsafe Lane Change,67,295
Other Movers,38,471
043    TOTAL Movers ,1246,9356
