83rd Precinct,,
October  ,,
083sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,39
Brake Lights (Defect.or Improper),33,394
"Bus Lane, Driving in",0,0
Cell Phone,112,1246
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Sign,268,3163
Equipment (Other),9,28
Fail to Keep Right,2,19
Fail to Signal,30,343
Fail to Stop on Signal,59,600
Following Too Closely,3,8
Headlights (Defect. or Improper),39,325
Improper Lights,0,12
Improper Passing,3,23
Improper Turn,15,272
Improper/Missing Plates,1,34
Not Giving R of W to Pedes.,17,147
Not Giving R of W to Veh.,3,15
One Way Street,22,102
Pavement Markings,7,80
Safety Belt,105,913
"School Bus, Passing Stopped",8,20
Speeding,8,47
Spillback,1,3
Tinted Windows,59,323
Truck Routes,11,51
U-Turn,2,4
Uninspected,1,25
Uninsured,53,636
Unlicensed Operator,139,1318
Unregistered,11,180
Unsafe Lane Change,0,11
Other Movers,60,192
083    TOTAL Movers ,1083,10578
