30th Precinct,,
October  ,,
030sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,21
Brake Lights (Defect.or Improper),25,217
"Bus Lane, Driving in",0,0
Cell Phone,97,1310
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,85,679
Equipment (Other),0,8
Fail to Keep Right,0,0
Fail to Signal,8,66
Fail to Stop on Signal,93,767
Following Too Closely,1,6
Headlights (Defect. or Improper),5,100
Improper Lights,0,1
Improper Passing,11,56
Improper Turn,47,830
Improper/Missing Plates,2,21
Not Giving R of W to Pedes.,36,456
Not Giving R of W to Veh.,3,22
One Way Street,0,2
Pavement Markings,6,55
Safety Belt,43,716
"School Bus, Passing Stopped",20,70
Speeding,37,297
Spillback,2,9
Tinted Windows,37,155
Truck Routes,20,194
U-Turn,0,190
Uninspected,1,14
Uninsured,10,106
Unlicensed Operator,32,300
Unregistered,2,25
Unsafe Lane Change,0,3
Other Movers,13,187
030    TOTAL Movers ,639,6885
