"Moving Violations",,
"Brooklyn North",,
"October  ",,
pbbnsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",18,265
"Brake Lights (Defect.or Improper)",369,3963
"Bus Lane, Driving in",7,26
"Cell Phone",918,12916
"Commercial Veh on Pkwy",0,4
"Defective Brakes",4,50
"Disobey Sign",1594,14864
"Equipment (Other)",58,309
"Fail to Keep Right",8,45
"Fail to Signal",249,2103
"Fail to Stop on Signal",779,7289
"Following Too Closely",5,60
"Headlights (Defect. or Improper)",480,4947
"Improper Lights",6,63
"Improper Passing",40,712
"Improper Turn",409,5166
"Improper/Missing Plates",33,299
"Not Giving R of W to Pedes.",199,2147
"Not Giving R of W to Veh.",60,527
"One Way Street",81,875
"Pavement Markings",276,3679
"Safety Belt",1279,12030
"School Bus, Passing Stopped",118,406
Speeding,456,4108
Spillback,18,314
"Tinted Windows",1011,8523
"Truck Routes",57,316
U-Turn,40,375
Uninspected,46,703
Uninsured,573,6460
"Unlicensed Operator",733,6854
Unregistered,157,1792
"Unsafe Lane Change",13,105
"Other Movers",832,8658
"PBBN   TOTAL Movers ",10926,110953
"* All figures are preliminary and subject to change.",,
