69th Precinct,,
October  ,,
069sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,31
Brake Lights (Defect.or Improper),17,225
"Bus Lane, Driving in",0,1
Cell Phone,196,1844
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,88,889
Equipment (Other),1,39
Fail to Keep Right,0,0
Fail to Signal,3,24
Fail to Stop on Signal,15,266
Following Too Closely,0,1
Headlights (Defect. or Improper),30,300
Improper Lights,0,9
Improper Passing,14,265
Improper Turn,79,805
Improper/Missing Plates,6,44
Not Giving R of W to Pedes.,25,110
Not Giving R of W to Veh.,0,25
One Way Street,0,13
Pavement Markings,9,236
Safety Belt,169,1981
"School Bus, Passing Stopped",14,40
Speeding,65,404
Spillback,0,11
Tinted Windows,241,2124
Truck Routes,5,80
U-Turn,0,9
Uninspected,7,70
Uninsured,105,1107
Unlicensed Operator,42,551
Unregistered,16,198
Unsafe Lane Change,1,1
Other Movers,76,625
069    TOTAL Movers ,1227,12328
