23rd Precinct,,
October  ,,
023sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,14
Brake Lights (Defect.or Improper),8,207
"Bus Lane, Driving in",1,8
Cell Phone,188,2010
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,45,560
Equipment (Other),17,140
Fail to Keep Right,0,0
Fail to Signal,7,106
Fail to Stop on Signal,53,537
Following Too Closely,0,1
Headlights (Defect. or Improper),10,191
Improper Lights,0,0
Improper Passing,2,29
Improper Turn,54,444
Improper/Missing Plates,0,11
Not Giving R of W to Pedes.,60,460
Not Giving R of W to Veh.,0,1
One Way Street,9,103
Pavement Markings,1,8
Safety Belt,119,1133
"School Bus, Passing Stopped",30,82
Speeding,19,152
Spillback,0,0
Tinted Windows,75,203
Truck Routes,5,43
U-Turn,0,1
Uninspected,0,0
Uninsured,3,67
Unlicensed Operator,21,150
Unregistered,0,18
Unsafe Lane Change,1,27
Other Movers,17,226
023    TOTAL Movers ,748,6932
