"Moving Violations",,
"49th Precinct",,
"October  ",,
049sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,10
"Brake Lights (Defect.or Improper)",67,423
"Bus Lane, Driving in",0,2
"Cell Phone",45,548
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,24
"Disobey Sign",72,844
"Equipment (Other)",0,8
"Fail to Keep Right",2,2
"Fail to Signal",39,432
"Fail to Stop on Signal",11,165
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",30,223
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",15,150
"Improper/Missing Plates",4,18
"Not Giving R of W to Pedes.",6,145
"Not Giving R of W to Veh.",1,17
"One Way Street",4,12
"Pavement Markings",21,344
"Safety Belt",84,966
"School Bus, Passing Stopped",16,49
Speeding,26,276
Spillback,0,1
"Tinted Windows",110,593
"Truck Routes",0,1
U-Turn,9,35
Uninspected,2,29
Uninsured,39,257
"Unlicensed Operator",59,530
Unregistered,8,79
"Unsafe Lane Change",2,24
"Other Movers",17,153
"049    TOTAL Movers ",690,6368
"* All figures are preliminary and subject to change.",,
