"Moving Violations",,
"105th Precinct",,
"October  ",,
105sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",65,612
"Bus Lane, Driving in",0,0
"Cell Phone",96,1268
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,0
"Disobey Sign",200,1361
"Equipment (Other)",0,2
"Fail to Keep Right",1,5
"Fail to Signal",30,257
"Fail to Stop on Signal",21,172
"Following Too Closely",2,9
"Headlights (Defect. or Improper)",35,411
"Improper Lights",0,0
"Improper Passing",4,21
"Improper Turn",75,234
"Improper/Missing Plates",6,73
"Not Giving R of W to Pedes.",15,171
"Not Giving R of W to Veh.",0,5
"One Way Street",1,36
"Pavement Markings",30,776
"Safety Belt",113,2291
"School Bus, Passing Stopped",19,44
Speeding,20,421
Spillback,0,4
"Tinted Windows",148,1735
"Truck Routes",2,48
U-Turn,4,34
Uninspected,62,255
Uninsured,180,1490
"Unlicensed Operator",72,735
Unregistered,16,148
"Unsafe Lane Change",4,31
"Other Movers",34,343
"105    TOTAL Movers ",1256,12999
"* All figures are preliminary and subject to change.",,
