"Moving Violations",,
"40th Precinct",,
"October  ",,
040sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,18
"Brake Lights (Defect.or Improper)",95,526
"Bus Lane, Driving in",0,0
"Cell Phone",69,758
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",154,1147
"Equipment (Other)",11,125
"Fail to Keep Right",2,30
"Fail to Signal",10,165
"Fail to Stop on Signal",37,476
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",70,613
"Improper Lights",0,2
"Improper Passing",6,37
"Improper Turn",66,1147
"Improper/Missing Plates",1,15
"Not Giving R of W to Pedes.",13,345
"Not Giving R of W to Veh.",2,72
"One Way Street",0,22
"Pavement Markings",12,97
"Safety Belt",43,695
"School Bus, Passing Stopped",19,60
Speeding,90,748
Spillback,4,64
"Tinted Windows",100,1475
"Truck Routes",0,11
U-Turn,10,112
Uninspected,1,20
Uninsured,112,1040
"Unlicensed Operator",58,799
Unregistered,20,145
"Unsafe Lane Change",1,19
"Other Movers",18,349
"040    TOTAL Movers ",1025,11136
"* All figures are preliminary and subject to change.",,
