"Moving Violations",,
"90th Precinct",,
"October  ",,
090sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",20,368
"Bus Lane, Driving in",0,0
"Cell Phone",65,1270
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",68,517
"Equipment (Other)",0,3
"Fail to Keep Right",0,2
"Fail to Signal",32,195
"Fail to Stop on Signal",86,790
"Following Too Closely",1,7
"Headlights (Defect. or Improper)",14,186
"Improper Lights",0,6
"Improper Passing",6,43
"Improper Turn",94,819
"Improper/Missing Plates",1,28
"Not Giving R of W to Pedes.",27,213
"Not Giving R of W to Veh.",6,35
"One Way Street",32,465
"Pavement Markings",13,69
"Safety Belt",121,1316
"School Bus, Passing Stopped",5,24
Speeding,22,275
Spillback,0,7
"Tinted Windows",102,365
"Truck Routes",6,43
U-Turn,4,19
Uninspected,2,25
Uninsured,83,954
"Unlicensed Operator",35,407
Unregistered,5,66
"Unsafe Lane Change",1,6
"Other Movers",81,647
"090    TOTAL Movers ",932,9174
"* All figures are preliminary and subject to change.",,
