"Moving Violations",,
"88th Precinct",,
"October  ",,
088sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,11
"Brake Lights (Defect.or Improper)",21,165
"Bus Lane, Driving in",0,0
"Cell Phone",138,1778
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",109,1266
"Equipment (Other)",0,12
"Fail to Keep Right",0,0
"Fail to Signal",9,57
"Fail to Stop on Signal",65,636
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",26,271
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",3,70
"Improper/Missing Plates",1,21
"Not Giving R of W to Pedes.",3,89
"Not Giving R of W to Veh.",3,51
"One Way Street",0,22
"Pavement Markings",43,311
"Safety Belt",130,1184
"School Bus, Passing Stopped",2,12
Speeding,15,158
Spillback,1,11
"Tinted Windows",5,73
"Truck Routes",1,15
U-Turn,0,2
Uninspected,2,57
Uninsured,43,513
"Unlicensed Operator",24,270
Unregistered,11,107
"Unsafe Lane Change",1,2
"Other Movers",35,396
"088    TOTAL Movers ",691,7566
"* All figures are preliminary and subject to change.",,
