"Moving Violations",,
"47th Precinct",,
"October  ",,
047sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,16
"Brake Lights (Defect.or Improper)",45,297
"Bus Lane, Driving in",0,0
"Cell Phone",52,492
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",151,695
"Equipment (Other)",0,0
"Fail to Keep Right",0,2
"Fail to Signal",0,1
"Fail to Stop on Signal",20,167
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",55,339
"Improper Lights",0,0
"Improper Passing",1,12
"Improper Turn",135,696
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",22,147
"Not Giving R of W to Veh.",3,20
"One Way Street",0,2
"Pavement Markings",0,29
"Safety Belt",46,922
"School Bus, Passing Stopped",14,52
Speeding,15,304
Spillback,0,0
"Tinted Windows",64,458
"Truck Routes",1,7
U-Turn,0,0
Uninspected,4,105
Uninsured,69,895
"Unlicensed Operator",52,474
Unregistered,14,282
"Unsafe Lane Change",1,11
"Other Movers",25,262
"047    TOTAL Movers ",793,6691
"* All figures are preliminary and subject to change.",,
