24th Precinct,,
October  ,,
024sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,10
Brake Lights (Defect.or Improper),12,111
"Bus Lane, Driving in",0,0
Cell Phone,141,1618
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,168,1411
Equipment (Other),11,90
Fail to Keep Right,0,1
Fail to Signal,11,185
Fail to Stop on Signal,60,525
Following Too Closely,0,1
Headlights (Defect. or Improper),23,127
Improper Lights,0,1
Improper Passing,0,1
Improper Turn,121,772
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,58,527
Not Giving R of W to Veh.,0,10
One Way Street,12,95
Pavement Markings,0,0
Safety Belt,9,342
"School Bus, Passing Stopped",14,44
Speeding,18,293
Spillback,0,8
Tinted Windows,17,102
Truck Routes,0,10
U-Turn,0,0
Uninspected,0,29
Uninsured,10,142
Unlicensed Operator,14,186
Unregistered,4,75
Unsafe Lane Change,3,55
Other Movers,12,238
024    TOTAL Movers ,719,7014
