Midtown North Precinct,,
October  ,,
018sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,16
Brake Lights (Defect.or Improper),37,288
"Bus Lane, Driving in",10,48
Cell Phone,165,1917
Commercial Veh on Pkwy,14,14
Defective Brakes,0,2
Disobey Sign,88,1027
Equipment (Other),0,15
Fail to Keep Right,0,3
Fail to Signal,15,180
Fail to Stop on Signal,100,750
Following Too Closely,0,2
Headlights (Defect. or Improper),37,313
Improper Lights,0,5
Improper Passing,0,2
Improper Turn,243,3093
Improper/Missing Plates,8,67
Not Giving R of W to Pedes.,33,217
Not Giving R of W to Veh.,1,5
One Way Street,11,82
Pavement Markings,8,136
Safety Belt,134,1585
"School Bus, Passing Stopped",4,23
Speeding,8,74
Spillback,11,98
Tinted Windows,19,149
Truck Routes,0,15
U-Turn,9,107
Uninspected,0,25
Uninsured,48,587
Unlicensed Operator,23,231
Unregistered,17,174
Unsafe Lane Change,8,48
Other Movers,34,396
018    TOTAL Movers ,1086,11694
