Brooklyn South,,
October  ,,
pbbssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,31,320
Brake Lights (Defect.or Improper),101,1430
"Bus Lane, Driving in",27,342
Cell Phone,1873,16640
Commercial Veh on Pkwy,9,75
Defective Brakes,0,17
Disobey Sign,1934,16341
Equipment (Other),75,415
Fail to Keep Right,1,20
Fail to Signal,385,3419
Fail to Stop on Signal,896,7771
Following Too Closely,10,99
Headlights (Defect. or Improper),129,1307
Improper Lights,76,792
Improper Passing,71,765
Improper Turn,570,6541
Improper/Missing Plates,47,474
Not Giving R of W to Pedes.,586,4719
Not Giving R of W to Veh.,60,624
One Way Street,68,485
Pavement Markings,235,4193
Safety Belt,1793,16074
"School Bus, Passing Stopped",145,528
Speeding,642,4713
Spillback,43,534
Tinted Windows,1388,11203
Truck Routes,65,808
U-Turn,128,1309
Uninspected,58,723
Uninsured,681,7094
Unlicensed Operator,744,6820
Unregistered,137,1508
Unsafe Lane Change,60,381
Other Movers,817,6933
PBBS   TOTAL Movers ,13885,125417
