"Moving Violations",,
"94th Precinct",,
"October  ",,
094sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,7
"Brake Lights (Defect.or Improper)",1,59
"Bus Lane, Driving in",0,1
"Cell Phone",52,692
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,4
"Disobey Sign",76,1125
"Equipment (Other)",9,81
"Fail to Keep Right",0,3
"Fail to Signal",3,58
"Fail to Stop on Signal",77,747
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",17,157
"Improper Lights",0,0
"Improper Passing",3,31
"Improper Turn",34,339
"Improper/Missing Plates",2,14
"Not Giving R of W to Pedes.",12,115
"Not Giving R of W to Veh.",0,52
"One Way Street",10,101
"Pavement Markings",3,82
"Safety Belt",53,735
"School Bus, Passing Stopped",0,14
Speeding,56,644
Spillback,0,8
"Tinted Windows",52,341
"Truck Routes",26,83
U-Turn,1,10
Uninspected,2,38
Uninsured,18,275
"Unlicensed Operator",37,341
Unregistered,10,84
"Unsafe Lane Change",0,4
"Other Movers",39,630
"094    TOTAL Movers ",593,6881
"* All figures are preliminary and subject to change.",,
