"Moving Violations",,
"46th Precinct",,
"October  ",,
046sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",8,64
"Brake Lights (Defect.or Improper)",55,395
"Bus Lane, Driving in",1,34
"Cell Phone",65,619
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",145,1532
"Equipment (Other)",3,104
"Fail to Keep Right",0,2
"Fail to Signal",12,194
"Fail to Stop on Signal",36,387
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",20,228
"Improper Lights",0,9
"Improper Passing",1,21
"Improper Turn",42,342
"Improper/Missing Plates",2,24
"Not Giving R of W to Pedes.",32,302
"Not Giving R of W to Veh.",6,38
"One Way Street",11,84
"Pavement Markings",10,122
"Safety Belt",35,369
"School Bus, Passing Stopped",168,190
Speeding,31,523
Spillback,2,10
"Tinted Windows",391,2239
"Truck Routes",0,10
U-Turn,30,319
Uninspected,2,18
Uninsured,133,1167
"Unlicensed Operator",57,490
Unregistered,21,204
"Unsafe Lane Change",4,27
"Other Movers",113,1071
"046    TOTAL Movers ",1436,11143
"* All figures are preliminary and subject to change.",,
