66th Precinct,,
October  ,,
066sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,7
Brake Lights (Defect.or Improper),4,60
"Bus Lane, Driving in",0,0
Cell Phone,166,1304
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,196,1056
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,70,650
Fail to Stop on Signal,42,282
Following Too Closely,0,0
Headlights (Defect. or Improper),1,13
Improper Lights,1,1
Improper Passing,0,5
Improper Turn,5,79
Improper/Missing Plates,0,10
Not Giving R of W to Pedes.,24,274
Not Giving R of W to Veh.,0,4
One Way Street,1,3
Pavement Markings,2,3
Safety Belt,177,1630
"School Bus, Passing Stopped",11,67
Speeding,70,296
Spillback,0,2
Tinted Windows,55,549
Truck Routes,28,217
U-Turn,4,20
Uninspected,0,40
Uninsured,43,465
Unlicensed Operator,55,427
Unregistered,9,92
Unsafe Lane Change,3,7
Other Movers,77,571
066    TOTAL Movers ,1046,8134
