114th Precinct,,
October  ,,
114sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,11
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,226,2041
Commercial Veh on Pkwy,0,5
Defective Brakes,0,0
Disobey Sign,250,2832
Equipment (Other),15,35
Fail to Keep Right,0,1
Fail to Signal,16,149
Fail to Stop on Signal,100,746
Following Too Closely,1,3
Headlights (Defect. or Improper),0,0
Improper Lights,3,87
Improper Passing,2,34
Improper Turn,53,520
Improper/Missing Plates,3,9
Not Giving R of W to Pedes.,33,245
Not Giving R of W to Veh.,8,26
One Way Street,3,35
Pavement Markings,16,335
Safety Belt,105,1374
"School Bus, Passing Stopped",4,14
Speeding,118,655
Spillback,2,11
Tinted Windows,114,824
Truck Routes,2,64
U-Turn,0,0
Uninspected,1,25
Uninsured,24,493
Unlicensed Operator,74,754
Unregistered,0,11
Unsafe Lane Change,0,1
Other Movers,106,885
114    TOTAL Movers ,1282,12225
