121st Precinct,,
October  ,,
121sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,13
Brake Lights (Defect.or Improper),20,360
"Bus Lane, Driving in",0,10
Cell Phone,44,738
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,276,3069
Equipment (Other),3,45
Fail to Keep Right,0,0
Fail to Signal,112,986
Fail to Stop on Signal,41,498
Following Too Closely,1,23
Headlights (Defect. or Improper),31,358
Improper Lights,2,35
Improper Passing,3,15
Improper Turn,5,175
Improper/Missing Plates,0,53
Not Giving R of W to Pedes.,33,146
Not Giving R of W to Veh.,3,39
One Way Street,0,11
Pavement Markings,125,692
Safety Belt,34,446
"School Bus, Passing Stopped",19,42
Speeding,88,918
Spillback,0,18
Tinted Windows,55,365
Truck Routes,0,1
U-Turn,11,55
Uninspected,2,73
Uninsured,71,854
Unlicensed Operator,85,1169
Unregistered,12,99
Unsafe Lane Change,3,40
Other Movers,60,579
121    TOTAL Movers ,1141,11927
