"Moving Violations",,
"110th Precinct",,
"October  ",,
110sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,7
"Brake Lights (Defect.or Improper)",1,25
"Bus Lane, Driving in",0,0
"Cell Phone",82,1271
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,1
"Disobey Sign",137,1476
"Equipment (Other)",0,5
"Fail to Keep Right",0,3
"Fail to Signal",9,106
"Fail to Stop on Signal",24,495
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",7,73
"Improper Lights",1,13
"Improper Passing",0,18
"Improper Turn",10,251
"Improper/Missing Plates",3,26
"Not Giving R of W to Pedes.",41,1056
"Not Giving R of W to Veh.",0,6
"One Way Street",10,103
"Pavement Markings",5,91
"Safety Belt",143,2036
"School Bus, Passing Stopped",91,190
Speeding,362,3169
Spillback,0,4
"Tinted Windows",22,333
"Truck Routes",8,57
U-Turn,3,28
Uninspected,2,26
Uninsured,25,455
"Unlicensed Operator",134,1345
Unregistered,4,71
"Unsafe Lane Change",3,7
"Other Movers",29,416
"110    TOTAL Movers ",1157,13170
"* All figures are preliminary and subject to change.",,
