26th Precinct,,
October  ,,
026sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),6,114
"Bus Lane, Driving in",0,0
Cell Phone,53,1059
Commercial Veh on Pkwy,1,9
Defective Brakes,2,3
Disobey Sign,31,615
Equipment (Other),2,59
Fail to Keep Right,2,10
Fail to Signal,1,33
Fail to Stop on Signal,47,375
Following Too Closely,0,2
Headlights (Defect. or Improper),5,87
Improper Lights,0,1
Improper Passing,0,9
Improper Turn,60,691
Improper/Missing Plates,3,10
Not Giving R of W to Pedes.,51,404
Not Giving R of W to Veh.,1,16
One Way Street,8,28
Pavement Markings,35,360
Safety Belt,9,271
"School Bus, Passing Stopped",8,16
Speeding,84,901
Spillback,0,2
Tinted Windows,27,127
Truck Routes,0,0
U-Turn,2,49
Uninspected,0,14
Uninsured,17,127
Unlicensed Operator,24,208
Unregistered,3,45
Unsafe Lane Change,0,14
Other Movers,27,261
026    TOTAL Movers ,509,5923
