52nd Precinct,,
October  ,,
052sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,22
Brake Lights (Defect.or Improper),80,764
"Bus Lane, Driving in",6,16
Cell Phone,33,606
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,57,740
Equipment (Other),0,44
Fail to Keep Right,1,6
Fail to Signal,15,125
Fail to Stop on Signal,75,406
Following Too Closely,1,1
Headlights (Defect. or Improper),70,469
Improper Lights,5,29
Improper Passing,1,7
Improper Turn,75,980
Improper/Missing Plates,4,48
Not Giving R of W to Pedes.,22,151
Not Giving R of W to Veh.,3,13
One Way Street,0,9
Pavement Markings,17,365
Safety Belt,52,428
"School Bus, Passing Stopped",18,21
Speeding,33,643
Spillback,1,5
Tinted Windows,155,2151
Truck Routes,6,23
U-Turn,6,75
Uninspected,3,187
Uninsured,27,251
Unlicensed Operator,71,817
Unregistered,21,236
Unsafe Lane Change,0,19
Other Movers,20,352
052    TOTAL Movers ,880,10009
