"Moving Violations",,
"122nd Precinct",,
"October  ",,
122sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",31,315
"Bus Lane, Driving in",16,92
"Cell Phone",130,956
"Commercial Veh on Pkwy",8,35
"Defective Brakes",0,0
"Disobey Sign",300,1789
"Equipment (Other)",18,183
"Fail to Keep Right",0,9
"Fail to Signal",120,616
"Fail to Stop on Signal",38,367
"Following Too Closely",11,35
"Headlights (Defect. or Improper)",16,194
"Improper Lights",0,2
"Improper Passing",5,16
"Improper Turn",10,49
"Improper/Missing Plates",27,157
"Not Giving R of W to Pedes.",26,95
"Not Giving R of W to Veh.",14,73
"One Way Street",3,41
"Pavement Markings",69,1278
"Safety Belt",106,1025
"School Bus, Passing Stopped",3,54
Speeding,113,1780
Spillback,2,7
"Tinted Windows",61,530
"Truck Routes",4,74
U-Turn,6,135
Uninspected,8,77
Uninsured,64,654
"Unlicensed Operator",106,805
Unregistered,6,139
"Unsafe Lane Change",16,76
"Other Movers",185,1304
"122    TOTAL Movers ",1523,12971
"* All figures are preliminary and subject to change.",,
