"Moving Violations",,
"72nd Precinct",,
"October  ",,
072sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,24
"Brake Lights (Defect.or Improper)",11,35
"Bus Lane, Driving in",0,0
"Cell Phone",77,675
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",112,1055
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",9,80
"Fail to Stop on Signal",120,948
"Following Too Closely",3,52
"Headlights (Defect. or Improper)",8,61
"Improper Lights",0,2
"Improper Passing",0,15
"Improper Turn",52,348
"Improper/Missing Plates",15,112
"Not Giving R of W to Pedes.",59,323
"Not Giving R of W to Veh.",9,65
"One Way Street",8,47
"Pavement Markings",54,608
"Safety Belt",97,669
"School Bus, Passing Stopped",11,51
Speeding,46,331
Spillback,0,11
"Tinted Windows",23,315
"Truck Routes",1,37
U-Turn,16,231
Uninspected,2,33
Uninsured,31,422
"Unlicensed Operator",49,591
Unregistered,13,153
"Unsafe Lane Change",10,97
"Other Movers",41,396
"072    TOTAL Movers ",877,7791
"* All figures are preliminary and subject to change.",,
