48th Precinct,,
Backing Unsafely,0,0
Brake Lights (Defect.or  Improper),15,19
"Bus Lane, Driving in",0,0
Cell Phone,175,439
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,49,106
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,1,6
Fail to Stop on Signal,15,50
Following Too Closely,0,4
Headlights (Defect. or Improper),10,22
Improper Lights,0,0
Improper Passing,0,6
Improper Turn,62,183
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,6,18
Not Giving R of W to Veh.,0,0
One Way Street,1,6
Pavement Markings,5,16
Safety Belt,126,287
"School Bus, Passing Stopped",0,5
Speeding,157,492
Spillback,3,15
Tinted Windows,124,475
Truck Routes,0,1
U-Turn,9,25
Uninspected,0,1
Uninsured,14,27
Unlicensed Operator,75,172
Unregistered,9,25
Unsafe Lane Change,0,0
Other Movers,8,26
TOTAL Movers,864,2428
