"Moving Violations",,
"Patrol Bureau",,
"   March ",,
patrolsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",121,357
"Brake Lights (Defect.or Improper)",931,3177
"Bus Lane, Driving in",56,218
"Cell Phone",6550,17248
"Commercial Veh on Pkwy",39,89
"Defective Brakes",5,11
"Disobey Steady Red Signal",4546,13202
"Disobey Traffic Control Device",14392,42348
"Equipment (Other)",333,821
"Fail to Keep Right",13,34
"Fail to Signal",1681,5561
"Following Too Closely",54,141
"Headlights (Defect. or Improper)",1022,3686
"Improper Lights",149,470
"Improper Passing",279,707
"Improper Turn",7002,19473
"Improper/Missing Plates",670,1806
"Not Giving R of W to Pedes.",3581,10505
"Not Giving R of W to Veh.",387,1075
"One Way Street",296,785
"Pavement Markings",964,2867
"Safety Belt",6074,16152
"School Bus, Passing Stopped",227,994
Speeding,4071,11156
Spillback,209,637
"Tinted Windows",7381,23525
"Truck Routes",275,758
U-Turn,318,990
Uninspected,273,872
Uninsured,2583,7352
"Unlicensed Operator",4571,12736
Unregistered,897,2501
"Unsafe Lane Change",418,1482
"Other Movers",4320,11992
"PATROLTOTAL Movers ",74688,215728
,,
"* All figures are preliminary and subject to change.",,
