"Moving Violations",,
Citywide,,
"    June ",,
citysum,,
"Offense Description","MTD2015 ","YTD2015 "
"Backing Unsafely",105,739
"Brake Lights (Defect.or Improper)",1022,8101
"Bus Lane, Driving in",229,1401
"Cell Phone",7032,44065
"Commercial Veh on Pkwy",161,730
"Defective Brakes",10,72
"Disobey Steady Red Signal",7789,27754
"Disobey Traffic Control Device",13573,84992
"Equipment (Other)",1599,4931
"Fail to Keep Right",25,191
"Fail to Signal",1825,12832
"Following Too Closely",100,714
"Headlights (Defect. or Improper)",823,7739
"Improper Lights",142,1161
"Improper Passing",392,2115
"Improper Turn",6758,39535
"Improper/Missing Plates",330,1798
"Not Giving R of W to Pedes.",5192,20310
"Not Giving R of W to Veh.",340,1813
"One Way Street",1218,2651
"Pavement Markings",1219,7734
"Safety Belt",7583,43597
"School Bus, Passing Stopped",115,2025
Speeding,10841,63844
Spillback,198,1468
"Tinted Windows",5031,37974
"Truck Routes",511,2070
U-Turn,329,2611
Uninspected,327,1802
Uninsured,2507,16251
"Unlicensed Operator",4587,26544
Unregistered,937,5403
"Unsafe Lane Change",455,3249
"Other Movers",7369,35986
"TOTAL Movers ",90674,514202
,,
"* All figures are preliminary and subject to change.",,
