"Moving Violations",,
"81st Precinct",,
"    June ",,
081sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",4,9
"Brake Lights (Defect.or Improper)",40,351
"Bus Lane, Driving in",0,0
"Cell Phone",97,784
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,7
"Disobey Steady Red Signal",21,187
"Disobey Traffic Control Device",92,364
"Equipment (Other)",2,49
"Fail to Keep Right",0,4
"Fail to Signal",32,194
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",54,453
"Improper Lights",1,2
"Improper Passing",2,9
"Improper Turn",18,39
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",61,173
"Not Giving R of W to Veh.",11,46
"One Way Street",0,7
"Pavement Markings",14,64
"Safety Belt",120,903
"School Bus, Passing Stopped",0,6
Speeding,33,203
Spillback,0,10
"Tinted Windows",85,712
"Truck Routes",0,0
U-Turn,0,1
Uninspected,2,18
Uninsured,30,278
"Unlicensed Operator",63,339
Unregistered,7,60
"Unsafe Lane Change",1,5
"Other Movers",52,331
"081   TOTAL Movers ",842,5611
"* All figures are preliminary and subject to change.",,
