"Moving Violations",,
"Brooklyn South",,
"    June ",,
pbbssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",18,130
"Brake Lights (Defect.or Improper)",58,436
"Bus Lane, Driving in",4,51
"Cell Phone",1185,7140
"Commercial Veh on Pkwy",13,33
"Defective Brakes",0,1
"Disobey Steady Red Signal",887,3839
"Disobey Traffic Control Device",1807,11033
"Equipment (Other)",51,295
"Fail to Keep Right",1,9
"Fail to Signal",279,1847
"Following Too Closely",17,76
"Headlights (Defect. or Improper)",75,651
"Improper Lights",10,81
"Improper Passing",63,385
"Improper Turn",799,4307
"Improper/Missing Plates",61,412
"Not Giving R of W to Pedes.",779,3584
"Not Giving R of W to Veh.",69,361
"One Way Street",77,232
"Pavement Markings",126,1042
"Safety Belt",1533,7919
"School Bus, Passing Stopped",20,284
Speeding,542,2875
Spillback,8,156
"Tinted Windows",1120,6788
"Truck Routes",63,287
U-Turn,80,586
Uninspected,42,268
Uninsured,460,2708
"Unlicensed Operator",657,3829
Unregistered,143,775
"Unsafe Lane Change",72,356
"Other Movers",1008,3964
"PBBS  TOTAL Movers ",12127,66740
"* All figures are preliminary and subject to change.",,
